date,price(USD)
5/12/2018,0.347384
5/13/2018,0.36609
5/14/2018,0.389918
5/15/2018,0.403851
5/16/2018,0.373185
5/17/2018,0.392524
5/18/2018,0.357857
5/19/2018,0.362119
5/20/2018,0.348429
5/21/2018,0.351664
5/22/2018,0.344411
5/23/2018,0.308834
5/24/2018,0.298139
5/25/2018,0.312017
5/26/2018,0.290833
5/27/2018,0.283345
5/28/2018,0.280487
5/29/2018,0.250335
5/30/2018,0.281352
5/31/2018,0.266585
6/1/2018,0.277993
6/2/2018,0.277973
6/3/2018,0.291533
6/4/2018,0.294376
6/5/2018,0.281792
6/6/2018,0.278839
6/7/2018,0.270451
6/8/2018,0.277543
6/9/2018,0.272348
6/10/2018,0.265738
6/11/2018,0.228179
6/12/2018,0.234054
6/13/2018,0.208681
6/14/2018,0.19505
6/15/2018,0.219425
6/16/2018,0.23441
6/17/2018,0.242629
6/18/2018,0.229953
6/19/2018,0.257546
6/20/2018,0.255545
6/21/2018,0.263738
6/22/2018,0.30546
6/23/2018,0.249713
6/24/2018,0.276485
6/25/2018,0.256403
6/26/2018,0.249666
6/27/2018,0.225055
6/28/2018,0.22371
6/29/2018,0.204318
6/30/2018,0.218216
7/1/2018,0.24263
7/2/2018,0.258049
7/3/2018,0.271335
7/4/2018,0.249975
7/5/2018,0.250721
7/6/2018,0.241166
7/7/2018,0.264982
7/8/2018,0.269778
7/9/2018,0.274015
7/10/2018,0.262173
7/11/2018,0.243195
7/12/2018,0.268646
7/13/2018,0.269151
7/14/2018,0.334512
7/15/2018,0.31759
7/16/2018,0.319275
7/17/2018,0.355797
7/18/2018,0.360704
7/19/2018,0.356273
7/20/2018,0.339452
7/21/2018,0.316236
7/22/2018,0.327367
7/23/2018,0.327859
7/24/2018,0.348955
7/25/2018,0.346312
7/26/2018,0.331323
7/27/2018,0.305209
7/28/2018,0.324782
7/29/2018,0.324813
7/30/2018,0.315306
7/31/2018,0.302874
8/1/2018,0.276599
8/2/2018,0.284322
8/3/2018,0.263792
8/4/2018,0.265944
8/5/2018,0.250059
8/6/2018,0.254198
8/7/2018,0.269345
8/8/2018,0.266132
8/9/2018,0.22156
8/10/2018,0.24606
8/11/2018,0.222178
8/12/2018,0.219059
