date,price(USD)
9/16/2015,0.502213
9/17/2015,0.510042
9/18/2015,0.49487
9/19/2015,0.498444
9/20/2015,0.498473
9/21/2015,0.488108
9/22/2015,0.481006
9/23/2015,0.467306
9/24/2015,0.464555
9/25/2015,0.470271
9/26/2015,0.453607
9/27/2015,0.44504
9/28/2015,0.440906
9/29/2015,0.449097
9/30/2015,0.437495
10/1/2015,0.401044
10/2/2015,0.405273
10/3/2015,0.409377
10/4/2015,0.40975
10/5/2015,0.400232
10/6/2015,0.415127
10/7/2015,0.410812
10/8/2015,0.39337
10/9/2015,0.389521
10/10/2015,0.394552
10/11/2015,0.387736
10/12/2015,0.38035
10/13/2015,0.39651
10/14/2015,0.388551
10/15/2015,0.383465
10/16/2015,0.393517
10/17/2015,0.4123
10/18/2015,0.426104
10/19/2015,0.409815
10/20/2015,0.397011
10/21/2015,0.400869
10/22/2015,0.394789
10/23/2015,0.403452
10/24/2015,0.391922
10/25/2015,0.39566
10/26/2015,0.407862
10/27/2015,0.390942
10/28/2015,0.41077
10/29/2015,0.447411
10/30/2015,0.447587
10/31/2015,0.452474
11/1/2015,0.402422
11/2/2015,0.4232
11/3/2015,0.443038
11/4/2015,0.446854
11/5/2015,0.502058
11/6/2015,0.434111
11/7/2015,0.439904
11/8/2015,0.452099
11/9/2015,0.49906
11/10/2015,0.471436
11/11/2015,0.457574
11/12/2015,0.450587
11/13/2015,0.442413
11/14/2015,0.449764
11/15/2015,0.425155
11/16/2015,0.430657
11/17/2015,0.436079
11/18/2015,0.43235
11/19/2015,0.415762
11/20/2015,0.403695
11/21/2015,0.390449
11/22/2015,0.391161
11/23/2015,0.396207
11/24/2015,0.390972
11/25/2015,0.391612
11/26/2015,0.387136
11/27/2015,0.401079
11/28/2015,0.385953
11/29/2015,0.392537
11/30/2015,0.401331
12/1/2015,0.393141
12/2/2015,0.376133
12/3/2015,0.368825
12/4/2015,0.370545
12/5/2015,0.371867
12/6/2015,0.441376
12/7/2015,0.428331
12/8/2015,0.421141
12/9/2015,0.43195
12/10/2015,0.450669
12/11/2015,0.430741
12/12/2015,0.459582
12/13/2015,0.455545
12/14/2015,0.474014
12/15/2015,0.536327
12/16/2015,0.555805
12/17/2015,0.51908
12/18/2015,0.500976
12/19/2015,0.499377
12/20/2015,0.472986
12/21/2015,0.505214
12/22/2015,0.488346
12/23/2015,0.478893
12/24/2015,0.480936
12/25/2015,0.489532
12/26/2015,0.488908
12/27/2015,0.448906
12/28/2015,0.452179
12/29/2015,0.446724
12/30/2015,0.456351
12/31/2015,0.441443
1/1/2016,0.470707
1/2/2016,0.498302
1/3/2016,0.532842
1/4/2016,0.506154
1/5/2016,0.517417
1/6/2016,0.49922
1/7/2016,0.503148
1/8/2016,0.490154
1/9/2016,0.485166
1/10/2016,0.489759
1/11/2016,0.491365
1/12/2016,0.481367
1/13/2016,0.485822
1/14/2016,0.485144
1/15/2016,0.485673
1/16/2016,0.426969
1/17/2016,0.499139
1/18/2016,0.447013
1/19/2016,0.505234
1/20/2016,0.543377
1/21/2016,0.531672
1/22/2016,0.551754
1/23/2016,0.536673
1/24/2016,0.616407
1/25/2016,0.626776
1/26/2016,0.582868
1/27/2016,0.584655
1/28/2016,0.610622
1/29/2016,0.564969
1/30/2016,0.516054
1/31/2016,0.511871
2/1/2016,0.486532
2/2/2016,0.503276
2/3/2016,0.501236
2/4/2016,0.494891
2/5/2016,0.506717
2/6/2016,0.49366
2/7/2016,0.484194
2/8/2016,0.478246
2/9/2016,0.481638
2/10/2016,0.464797
2/11/2016,0.479195
2/12/2016,0.517753
2/13/2016,0.60533
2/14/2016,0.805152
2/15/2016,0.826702
2/16/2016,0.791869
2/17/2016,0.952018
2/18/2016,0.732115
2/19/2016,0.774915
2/20/2016,0.828511
2/21/2016,0.822279
2/22/2016,0.77964
2/23/2016,0.780228
2/24/2016,0.757318
2/25/2016,0.806463
2/26/2016,0.806193
2/27/2016,0.820387
2/28/2016,0.828838
2/29/2016,0.870271
3/1/2016,0.870027
3/2/2016,0.846396
3/3/2016,0.823845
3/4/2016,1.09
3/5/2016,1.1
3/6/2016,1.2
3/7/2016,1.21
3/8/2016,1.08
3/9/2016,1.19
